                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.62261,                0.58203,                0.99776,                0.68982,                0.57314,                0.93601,                0.80581,                0.84131,                 0.8923,                0.77707,                0.53913,                0.55565,                 1.0038,                0.54553,                0.54587,                0.88055,              0.0099485,              0.0099485,              0.0099485
                     55,                0.62739,                 0.5744,                 1.0045,                0.69418,                0.56905,                0.94078,                0.81853,                0.84147,                0.89712,                 0.7803,                 0.5355,                0.55313,                 1.0115,                0.54863,                0.54413,                0.88816,              0.0099475,              0.0099475,              0.0099475
                     56,                0.61472,                0.57606,                0.99383,                0.68149,                0.56958,                0.93084,                0.81583,                0.83265,                0.89463,                0.78035,                0.53943,                0.56589,                 1.0097,                  0.549,                0.56072,                0.88481,              0.0099465,              0.0099465,              0.0099465
                     57,                0.62796,                0.58603,                0.99869,                0.69448,                0.58444,                0.93533,                0.79041,                0.84579,                0.88594,                0.77136,                0.53704,                0.55268,                0.98745,                0.55041,                0.56742,                0.88332,              0.0099456,              0.0099456,              0.0099456
                     58,                0.62198,                0.58172,                0.99963,                0.69241,                0.57895,                0.93887,                0.84631,                0.79796,                0.89365,                0.77694,                0.54015,                0.55926,                 1.0036,                0.54595,                0.55177,                0.88718,              0.0099446,              0.0099446,              0.0099446
                     59,                0.62088,                0.57046,                 1.0003,                0.68729,                0.56938,                 0.9416,                0.83443,                0.82579,                0.89462,                0.77493,                0.53998,                0.55913,                 1.0023,                 0.5525,                0.56256,                 0.8882,              0.0099436,              0.0099436,              0.0099436
                     60,                0.62037,                 0.5735,                0.99621,                0.68693,                0.57883,                0.94166,                0.80897,                0.82341,                0.88798,                0.77291,                 0.5339,                0.57506,                0.99272,                0.54232,                 0.5874,                0.88188,              0.0099426,              0.0099426,              0.0099426
                     61,                0.62056,                  0.566,                 1.0048,                0.69394,                0.56868,                0.93883,                0.80536,                0.83666,                0.89222,                0.77585,                 0.5375,                0.55068,                 1.0186,                0.54514,                0.55467,                0.88604,              0.0099416,              0.0099416,              0.0099416
                     62,                0.62219,                0.56184,                 1.0108,                0.68988,                0.56475,                0.94193,                0.83421,                0.83272,                 0.8931,                0.77721,                  0.538,                0.53742,                 1.0122,                0.54298,                0.55597,                0.88635,              0.0099406,              0.0099406,              0.0099406
                     63,                0.61894,                0.56216,                 1.0041,                0.68777,                0.56286,                 0.9403,                0.82242,                 0.8161,                0.89141,                0.77508,                0.53481,                0.56148,                 1.0137,                0.54464,                0.56792,                0.88564,              0.0099396,              0.0099396,              0.0099396
